artists,cluster,perfil_cluster,alto_potencial,apariciones_chile,canciones_unicas_chile,rank_promedio_chile,popularidad_promedio,movimiento_diario_promedio,movimiento_semanal_promedio,permanencia_dias,puntaje_posicion_chile,probabilidad_alta_senal_spotify,clase_predicha,senal_predicha
Lenny Tavárez,0,Presencia sostenida en rankings chilenos,1,55,2,19.545454545454547,76.45454545454545,1.3818181818181818,1.5636363636363637,54,50,0.99947,1,Alta señal digital local
DJ Acres,3,Baja presencia o menor posicionamiento local,0,54,1,42.148148148148145,55.53703703703704,0.37037037037037035,1.4444444444444444,54,20,0.000324,0,Menor señal digital local
RaiNao,0,Presencia sostenida en rankings chilenos,1,54,1,24.25925925925926,87.25925925925925,0.018518518518518517,1.1296296296296295,54,44,0.998026,1,Alta señal digital local
Kuv507,0,Presencia sostenida en rankings chilenos,1,52,2,26.596153846153847,74.40384615384616,0.8846153846153846,7.230769230769231,52,44,0.98018,1,Alta señal digital local
Latinnites Music,0,Presencia sostenida en rankings chilenos,1,52,2,26.596153846153847,74.40384615384616,0.8846153846153846,7.230769230769231,52,44,0.98018,1,Alta señal digital local
Ovyze,3,Baja presencia o menor posicionamiento local,0,52,2,35.84615384615385,59.67307692307692,0.2692307692307692,0.7884615384615384,51,33,0.065208,0,Menor señal digital local
Omega,0,Presencia sostenida en rankings chilenos,1,51,1,30.392156862745097,67.98039215686275,0.29411764705882354,2.3529411764705883,51,41,0.969565,1,Alta señal digital local
Yeri Mua,3,Baja presencia o menor posicionamiento local,0,50,2,41.68,75.22,0.44,2.26,50,23,0.00336,0,Menor señal digital local
Kreamly,0,Presencia sostenida en rankings chilenos,1,49,3,19.73469387755102,65.73469387755102,0.6122448979591837,8.10204081632653,49,50,0.996944,1,Alta señal digital local
Wolfine,0,Presencia sostenida en rankings chilenos,1,49,1,28.836734693877553,84.53061224489795,0.02040816326530612,1.183673469387755,49,29,0.917389,1,Alta señal digital local
Ñejo,0,Presencia sostenida en rankings chilenos,1,49,1,28.836734693877553,84.53061224489795,0.02040816326530612,1.183673469387755,49,29,0.917389,1,Alta señal digital local
benjitalkapone,0,Presencia sostenida en rankings chilenos,1,48,2,10.333333333333334,64.58333333333333,2.0208333333333335,13.479166666666666,34,50,0.998493,1,Alta señal digital local
Entremares,0,Presencia sostenida en rankings chilenos,1,46,5,26.32608695652174,62.108695652173914,1.5,14.108695652173912,22,50,0.89157,1,Alta señal digital local
TATOOL,0,Presencia sostenida en rankings chilenos,1,45,1,27.866666666666667,87.04444444444445,1.1333333333333333,2.111111111111111,45,43,0.992458,1,Alta señal digital local
Jombriel,3,Baja presencia o menor posicionamiento local,0,44,1,39.40909090909091,90.52272727272727,0.75,4.636363636363637,44,28,0.022604,0,Menor señal digital local
Jøtta,3,Baja presencia o menor posicionamiento local,0,44,1,39.40909090909091,90.52272727272727,0.75,4.636363636363637,44,28,0.022604,0,Menor señal digital local
Tiësto,3,Baja presencia o menor posicionamiento local,0,43,1,38.58139534883721,86.11627906976744,0.4186046511627907,1.744186046511628,43,27,0.024434,0,Menor señal digital local
J Balvin,3,Baja presencia o menor posicionamiento local,0,42,3,34.54761904761905,78.21428571428571,0.6190476190476191,4.976190476190476,42,33,0.216283,0,Menor señal digital local
Eladio Carrion,0,Presencia sostenida en rankings chilenos,1,37,3,24.594594594594593,77.91891891891892,0.8648648648648649,8.405405405405405,36,44,0.980674,1,Alta señal digital local
Los Bunkers,0,Presencia sostenida en rankings chilenos,1,37,5,38.189189189189186,63.37837837837838,0.1891891891891892,3.2432432432432434,28,47,0.834529,1,Alta señal digital local
Prod Millones,3,Baja presencia o menor posicionamiento local,0,37,1,44.54054054054054,63.810810810810814,0.40540540540540543,1.0,37,15,9.5e-05,0,Menor señal digital local
Fuerza Regida,3,Baja presencia o menor posicionamiento local,0,36,2,35.111111111111114,88.44444444444444,0.5277777777777778,3.361111111111111,34,23,0.028885,0,Menor señal digital local
Moustache,3,Baja presencia o menor posicionamiento local,0,35,1,34.17142857142857,63.142857142857146,0.08571428571428572,0.6857142857142857,35,29,0.028312,0,Menor señal digital local
Haze,3,Baja presencia o menor posicionamiento local,0,33,2,38.303030303030305,79.06060606060606,0.36363636363636365,2.6363636363636362,33,30,0.028797,0,Menor señal digital local
Miguel Bueno,3,Baja presencia o menor posicionamiento local,0,32,1,40.3125,83.09375,0.0625,1.90625,32,20,0.002382,0,Menor señal digital local
Los Pleneros de la Cresta,0,Presencia sostenida en rankings chilenos,1,32,1,32.59375,84.90625,0.03125,1.21875,32,30,0.460602,0,Menor señal digital local
Juan Duque,3,Baja presencia o menor posicionamiento local,0,32,1,40.3125,83.09375,0.0625,1.90625,32,20,0.002382,0,Menor señal digital local
Lil Pump,0,Presencia sostenida en rankings chilenos,1,31,1,25.096774193548388,61.903225806451616,0.0,1.4516129032258065,31,39,0.981476,1,Alta señal digital local
CJota,0,Presencia sostenida en rankings chilenos,1,30,1,30.8,62.0,0.13333333333333333,2.3,30,37,0.769588,1,Alta señal digital local
Bhavi,0,Presencia sostenida en rankings chilenos,1,29,1,26.379310344827587,81.62068965517241,1.1379310344827587,2.793103448275862,29,38,0.981098,1,Alta señal digital local
Seven Kayne,0,Presencia sostenida en rankings chilenos,1,29,1,26.379310344827587,81.62068965517241,1.1379310344827587,2.793103448275862,29,38,0.981098,1,Alta señal digital local
KHEA,0,Presencia sostenida en rankings chilenos,1,29,1,26.379310344827587,81.62068965517241,1.1379310344827587,2.793103448275862,29,38,0.981098,1,Alta señal digital local
Neo Pistea,0,Presencia sostenida en rankings chilenos,1,29,1,26.379310344827587,81.62068965517241,1.1379310344827587,2.793103448275862,29,38,0.981098,1,Alta señal digital local
Marcianeke,3,Baja presencia o menor posicionamiento local,0,26,2,33.26923076923077,59.03846153846154,0.19230769230769232,4.115384615384615,26,35,0.084855,0,Menor señal digital local
Duki,3,Baja presencia o menor posicionamiento local,0,26,2,40.19230769230769,77.3076923076923,0.4230769230769231,2.3076923076923075,26,27,0.00823,0,Menor señal digital local
Paulo Londra,0,Presencia sostenida en rankings chilenos,1,25,2,36.24,65.12,0.84,4.84,25,43,0.439809,0,Menor señal digital local
DONNER,3,Baja presencia o menor posicionamiento local,0,25,2,31.32,56.84,0.16,5.56,25,35,0.113978,0,Menor señal digital local
Dj Kiire,3,Baja presencia o menor posicionamiento local,0,24,1,41.041666666666664,75.33333333333333,0.5833333333333334,1.0833333333333333,24,23,0.002047,0,Menor señal digital local
Uzielito Mix,3,Baja presencia o menor posicionamiento local,0,24,1,41.041666666666664,75.33333333333333,0.5833333333333334,1.0833333333333333,24,23,0.002047,0,Menor señal digital local
Maihuen de los Angeles,0,Presencia sostenida en rankings chilenos,1,24,4,30.791666666666668,60.666666666666664,2.0833333333333335,14.291666666666666,15,49,0.334677,0,Menor señal digital local
Lleflight,3,Baja presencia o menor posicionamiento local,0,24,2,40.5,60.291666666666664,0.375,3.7083333333333335,22,20,0.000412,0,Menor señal digital local
Sech,0,Presencia sostenida en rankings chilenos,1,23,2,35.26086956521739,82.65217391304348,0.7391304347826086,2.5652173913043477,23,44,0.941961,1,Alta señal digital local
Drakomafia,3,Baja presencia o menor posicionamiento local,0,22,1,40.86363636363637,63.40909090909091,0.045454545454545456,2.8181818181818183,22,14,0.000115,0,Menor señal digital local
Cazzu,3,Baja presencia o menor posicionamiento local,0,20,1,42.6,79.0,0.35,2.15,20,19,0.000639,0,Menor señal digital local
Kendrick Lamar,0,Presencia sostenida en rankings chilenos,1,19,1,28.36842105263158,91.63157894736842,0.05263157894736842,5.052631578947368,19,34,0.929814,1,Alta señal digital local
Giuliano Yankees,3,Baja presencia o menor posicionamiento local,0,19,6,43.0,41.36842105263158,2.6842105263157894,6.421052631578948,13,25,0.00022,0,Menor señal digital local
Ariana Grande,3,Baja presencia o menor posicionamiento local,0,18,3,41.166666666666664,86.27777777777777,3.2777777777777777,6.722222222222222,18,24,0.002749,0,Menor señal digital local
Ness,0,Presencia sostenida en rankings chilenos,1,18,1,12.944444444444445,64.22222222222223,2.5,16.88888888888889,18,47,0.989482,1,Alta señal digital local
SOG,3,Baja presencia o menor posicionamiento local,0,15,1,40.13333333333333,73.73333333333333,0.4,3.6,15,17,0.000392,0,Menor señal digital local
XROSS,3,Baja presencia o menor posicionamiento local,0,15,1,37.2,72.86666666666666,1.2666666666666666,4.133333333333334,15,22,0.001796,0,Menor señal digital local
Ozuna,3,Baja presencia o menor posicionamiento local,0,14,2,38.714285714285715,57.0,2.142857142857143,8.071428571428571,14,31,0.001912,0,Menor señal digital local
Casper Magico,3,Baja presencia o menor posicionamiento local,0,13,3,46.61538461538461,54.53846153846154,0.7692307692307693,3.3846153846153846,13,14,2e-05,0,Menor señal digital local
Aventura,3,Baja presencia o menor posicionamiento local,0,13,3,40.92307692307692,75.3076923076923,1.0,9.076923076923077,9,21,0.000649,0,Menor señal digital local
Membrillito,3,Baja presencia o menor posicionamiento local,0,13,1,39.38461538461539,68.53846153846153,1.4615384615384615,7.230769230769231,13,21,0.000415,0,Menor señal digital local
Hades66,3,Baja presencia o menor posicionamiento local,0,13,2,47.38461538461539,66.15384615384616,0.6923076923076923,2.6153846153846154,13,9,1.1e-05,0,Menor señal digital local
Arcángel,3,Baja presencia o menor posicionamiento local,0,13,2,47.0,75.6923076923077,0.6923076923076923,2.4615384615384617,13,8,1.8e-05,0,Menor señal digital local
Noche de Brujas,3,Baja presencia o menor posicionamiento local,0,12,3,36.0,61.166666666666664,8.916666666666666,14.0,5,33,0.000738,0,Menor señal digital local
Dj Rocka,3,Baja presencia o menor posicionamiento local,0,12,1,39.25,63.25,0.8333333333333334,6.916666666666667,12,18,0.000176,0,Menor señal digital local
Slayter,3,Baja presencia o menor posicionamiento local,0,12,2,47.583333333333336,65.75,1.0833333333333333,2.0833333333333335,12,9,1e-05,0,Menor señal digital local
La Kikada,3,Baja presencia o menor posicionamiento local,0,11,1,35.0,64.81818181818181,1.8181818181818181,9.090909090909092,11,25,0.001492,0,Menor señal digital local
Milly,3,Baja presencia o menor posicionamiento local,0,11,1,35.0,64.81818181818181,1.8181818181818181,9.090909090909092,11,25,0.001492,0,Menor señal digital local
TINI,3,Baja presencia o menor posicionamiento local,0,11,1,41.45454545454545,78.63636363636364,0.2727272727272727,5.2727272727272725,11,20,0.000585,0,Menor señal digital local
LIT killah,3,Baja presencia o menor posicionamiento local,0,10,1,34.8,53.5,0.2,5.9,10,43,0.08396,0,Menor señal digital local
La Oreja de Van Gogh,3,Baja presencia o menor posicionamiento local,0,10,2,47.7,78.9,0.0,2.1,10,9,2.6e-05,0,Menor señal digital local
Carín León,3,Baja presencia o menor posicionamiento local,0,10,1,46.6,84.2,1.8,-0.1,10,9,3.6e-05,0,Menor señal digital local
Luck Ra,3,Baja presencia o menor posicionamiento local,0,10,1,34.8,53.5,0.2,5.9,10,43,0.08396,0,Menor señal digital local
Los Hermanos Campos,1,Aparición puntual o comportamiento emergente,0,10,3,22.6,59.3,5.8,27.4,4,46,0.006848,0,Menor señal digital local
Sevdaliza,3,Baja presencia o menor posicionamiento local,0,10,2,33.8,81.9,6.1,16.2,10,32,0.003787,0,Menor señal digital local
Luis Miguel,1,Aparición puntual o comportamiento emergente,0,9,4,30.11111111111111,71.88888888888889,17.666666666666668,19.88888888888889,4,42,0.00115,0,Menor señal digital local
Morat,3,Baja presencia o menor posicionamiento local,0,9,3,45.666666666666664,73.55555555555556,1.2222222222222223,4.333333333333333,4,13,5.4e-05,0,Menor señal digital local
Piero 47,3,Baja presencia o menor posicionamiento local,0,9,2,44.0,46.55555555555556,0.3333333333333333,6.0,9,27,0.000157,0,Menor señal digital local
Onda Sabanera,3,Baja presencia o menor posicionamiento local,0,9,1,46.333333333333336,80.88888888888889,2.7777777777777777,2.3333333333333335,9,19,0.000171,0,Menor señal digital local
Villano Antillano,1,Aparición puntual o comportamiento emergente,0,9,1,32.0,84.11111111111111,6.777777777777778,18.0,9,32,0.002863,0,Menor señal digital local
La Cueva,3,Baja presencia o menor posicionamiento local,0,9,1,34.77777777777778,68.11111111111111,-1.2222222222222223,-6.555555555555555,9,21,0.011396,0,Menor señal digital local
Artemas,3,Baja presencia o menor posicionamiento local,0,8,1,44.125,98.75,0.25,2.625,8,16,0.000657,0,Menor señal digital local
Clarent,3,Baja presencia o menor posicionamiento local,0,8,1,32.125,82.25,3.125,17.875,8,33,0.004913,0,Menor señal digital local
Tunechikidd,3,Baja presencia o menor posicionamiento local,0,8,2,40.25,42.625,0.625,9.75,8,25,0.000111,0,Menor señal digital local
La Sonora De Tommy Rey,1,Aparición puntual o comportamiento emergente,0,8,4,12.0,40.875,38.0,38.0,2,46,1e-06,0,Menor señal digital local
Brray,3,Baja presencia o menor posicionamiento local,0,8,2,37.625,50.125,2.75,12.375,8,34,0.000917,0,Menor señal digital local
Jin,3,Baja presencia o menor posicionamiento local,0,7,1,43.57142857142857,89.0,0.14285714285714285,6.428571428571429,7,17,0.000302,0,Menor señal digital local
Maycol Rosero,3,Baja presencia o menor posicionamiento local,0,7,1,40.285714285714285,53.142857142857146,0.14285714285714285,9.714285714285714,7,22,0.000108,0,Menor señal digital local
NTG,3,Baja presencia o menor posicionamiento local,0,7,1,47.0,73.71428571428571,1.7142857142857142,2.4285714285714284,7,9,1.1e-05,0,Menor señal digital local
YOVNGCHIMI,3,Baja presencia o menor posicionamiento local,0,6,1,47.333333333333336,60.833333333333336,1.3333333333333333,2.6666666666666665,6,9,5e-06,0,Menor señal digital local
CDobleta,3,Baja presencia o menor posicionamiento local,0,6,1,47.333333333333336,60.833333333333336,1.3333333333333333,2.6666666666666665,6,9,5e-06,0,Menor señal digital local
Jung Kook,3,Baja presencia o menor posicionamiento local,0,6,2,48.0,73.0,0.0,2.0,6,9,1.5e-05,0,Menor señal digital local
Mariah Carey,1,Aparición puntual o comportamiento emergente,0,6,2,16.333333333333332,94.66666666666667,18.666666666666668,33.666666666666664,4,50,0.000597,0,Menor señal digital local
Sonora Palacios,1,Aparición puntual o comportamiento emergente,0,6,3,9.5,49.5,40.5,40.5,2,48,1e-06,0,Menor señal digital local
Abraham Wayne,3,Baja presencia o menor posicionamiento local,0,6,1,39.5,38.5,0.0,10.5,6,28,0.000125,0,Menor señal digital local
Pressure 9X19,3,Baja presencia o menor posicionamiento local,0,6,1,47.333333333333336,60.833333333333336,1.3333333333333333,2.6666666666666665,6,9,5e-06,0,Menor señal digital local
Arcane,1,Aparición puntual o comportamiento emergente,0,5,2,35.0,84.8,13.0,15.0,5,34,0.00135,0,Menor señal digital local
Stromae,1,Aparición puntual o comportamiento emergente,0,5,2,35.0,84.8,13.0,15.0,5,34,0.00135,0,Menor señal digital local
0-600,3,Baja presencia o menor posicionamiento local,0,5,1,43.6,73.6,0.2,0.4,5,19,0.000341,0,Menor señal digital local
Pomme,1,Aparición puntual o comportamiento emergente,0,5,2,35.0,84.8,13.0,15.0,5,34,0.00135,0,Menor señal digital local
Orodembow,3,Baja presencia o menor posicionamiento local,0,5,1,43.6,73.6,0.2,0.4,5,19,0.000341,0,Menor señal digital local
Hugo Lagos,1,Aparición puntual o comportamiento emergente,0,5,4,31.0,55.4,11.4,19.0,2,39,0.001038,0,Menor señal digital local
Los Vikings 5,1,Aparición puntual o comportamiento emergente,0,5,4,32.6,50.0,17.4,17.4,2,28,3.4e-05,0,Menor señal digital local
Grupo Firme,3,Baja presencia o menor posicionamiento local,0,5,1,46.8,90.0,1.2,3.2,5,7,2.2e-05,0,Menor señal digital local
Juanka,1,Aparición puntual o comportamiento emergente,0,5,1,18.6,51.8,6.4,31.4,5,38,0.000626,0,Menor señal digital local
La Gran Magia Tropical,1,Aparición puntual o comportamiento emergente,0,5,1,24.4,61.6,11.4,25.6,5,40,0.000616,0,Menor señal digital local
ORO600,3,Baja presencia o menor posicionamiento local,0,5,1,43.6,73.6,0.2,0.4,5,19,0.000341,0,Menor señal digital local
Silvia Infantas Y Los Condores,1,Aparición puntual o comportamiento emergente,0,5,3,31.6,56.6,5.6,18.4,2,35,0.001059,0,Menor señal digital local
Nickzzy,3,Baja presencia o menor posicionamiento local,0,5,1,41.8,49.0,7.0,8.2,5,32,0.000145,0,Menor señal digital local
Andy Williams,1,Aparición puntual o comportamiento emergente,0,4,2,23.25,85.5,20.0,26.75,4,41,0.000322,0,Menor señal digital local
BRUNO MATEUS,1,Aparición puntual o comportamiento emergente,0,4,1,23.75,54.75,13.0,26.25,4,38,0.000206,0,Menor señal digital local
Pachuco y La Cubanacán,1,Aparición puntual o comportamiento emergente,0,4,2,28.25,41.75,21.75,21.75,2,37,2.9e-05,0,Menor señal digital local
Ovi,1,Aparición puntual o comportamiento emergente,0,4,2,25.75,48.75,7.75,24.25,3,36,0.000295,0,Menor señal digital local
Pop Smoke,3,Baja presencia o menor posicionamiento local,0,4,1,46.25,75.0,2.0,3.75,4,9,1.1e-05,0,Menor señal digital local
Taylor Swift,3,Baja presencia o menor posicionamiento local,0,4,4,43.25,0.0,6.75,6.75,1,17,0.0,0,Menor señal digital local
El Alfa,3,Baja presencia o menor posicionamiento local,0,4,1,46.25,75.0,2.0,3.75,4,9,1.1e-05,0,Menor señal digital local
Rafaga,1,Aparición puntual o comportamiento emergente,0,4,2,15.0,68.0,35.0,35.0,2,43,4e-06,0,Menor señal digital local
Piso 21,3,Baja presencia o menor posicionamiento local,0,4,1,48.75,84.25,1.25,0.0,4,6,1.1e-05,0,Menor señal digital local
Michael Bublé,1,Aparición puntual o comportamiento emergente,0,4,3,34.0,84.25,16.0,16.0,2,23,0.000106,0,Menor señal digital local
Marc Anthony,3,Baja presencia o menor posicionamiento local,0,4,1,48.75,84.25,1.25,0.0,4,6,1.1e-05,0,Menor señal digital local
Giolito Y Su Combo,1,Aparición puntual o comportamiento emergente,0,4,3,30.25,40.25,19.75,19.75,2,30,1.3e-05,0,Menor señal digital local
Wham!,1,Aparición puntual o comportamiento emergente,0,4,2,7.0,92.25,23.25,43.0,4,49,5.4e-05,0,Menor señal digital local
La Combo Tortuga,1,Aparición puntual o comportamiento emergente,0,4,1,35.25,57.5,12.75,14.75,4,25,2.5e-05,0,Menor señal digital local
Los Charros De Lumaco,3,Baja presencia o menor posicionamiento local,0,4,2,38.75,59.25,3.5,11.25,4,26,0.000311,0,Menor señal digital local
José Feliciano,1,Aparición puntual o comportamiento emergente,0,4,2,12.0,84.5,30.75,38.0,4,48,1.5e-05,0,Menor señal digital local
Juanes,3,Baja presencia o menor posicionamiento local,0,4,1,44.75,73.0,1.0,5.25,4,13,3.2e-05,0,Menor señal digital local
Bobby Helms,1,Aparición puntual o comportamiento emergente,0,4,1,18.0,93.75,20.75,32.0,4,47,0.000274,0,Menor señal digital local
*NSYNC,3,Baja presencia o menor posicionamiento local,0,4,1,44.5,85.5,1.25,5.5,4,17,0.000175,0,Menor señal digital local
Brenda Lee,1,Aparición puntual o comportamiento emergente,0,4,1,18.75,96.75,20.25,31.25,4,43,0.000254,0,Menor señal digital local
Junior H,3,Baja presencia o menor posicionamiento local,0,4,1,46.25,75.0,2.0,3.75,4,9,1.1e-05,0,Menor señal digital local
Pierre La Voz,1,Aparición puntual o comportamiento emergente,0,3,1,28.0,60.333333333333336,16.666666666666668,22.0,3,43,0.000468,0,Menor señal digital local
Kelly Clarkson,1,Aparición puntual o comportamiento emergente,0,3,2,21.0,89.0,22.0,29.0,3,40,0.000162,0,Menor señal digital local
C. Tangana,3,Baja presencia o menor posicionamiento local,0,3,1,39.666666666666664,48.666666666666664,1.3333333333333333,10.333333333333334,3,28,0.000219,0,Menor señal digital local
Bolier,1,Aparición puntual o comportamiento emergente,0,3,1,31.666666666666668,56.0,7.333333333333333,18.333333333333332,3,34,0.000371,0,Menor señal digital local
Loco,3,Baja presencia o menor posicionamiento local,0,3,1,35.0,53.333333333333336,5.0,15.0,3,18,2.6e-05,0,Menor señal digital local
Baby J & Young Weapon,3,Baja presencia o menor posicionamiento local,0,3,1,49.0,57.333333333333336,0.6666666666666666,1.0,3,3,1e-06,0,Menor señal digital local
Los Reales del Valle,3,Baja presencia o menor posicionamiento local,0,3,2,34.0,57.0,8.666666666666666,16.0,2,24,7.2e-05,0,Menor señal digital local
DJ Urba,3,Baja presencia o menor posicionamiento local,0,2,1,49.0,71.5,1.0,1.0,2,3,2e-06,0,Menor señal digital local
Dean Martin,1,Aparición puntual o comportamiento emergente,0,2,1,21.5,94.0,28.5,28.5,2,32,2.1e-05,0,Menor señal digital local
B. Swanson Quartet,1,Aparición puntual o comportamiento emergente,0,2,2,19.5,88.0,30.5,30.5,2,32,1.2e-05,0,Menor señal digital local
Conjunto Alerce,1,Aparición puntual o comportamiento emergente,0,2,1,22.5,58.0,9.5,27.5,2,37,0.000351,0,Menor señal digital local
Lyon la f,3,Baja presencia o menor posicionamiento local,0,2,1,41.5,51.0,3.5,8.5,2,11,4e-06,0,Menor señal digital local
Conjunto Graneros,3,Baja presencia o menor posicionamiento local,0,2,1,31.5,57.5,5.5,18.5,2,27,0.000194,0,Menor señal digital local
Remers,3,Baja presencia o menor posicionamiento local,0,2,1,40.0,20.5,3.5,10.0,2,14,1e-06,0,Menor señal digital local
Rene Inostroza,3,Baja presencia o menor posicionamiento local,0,2,1,44.5,54.0,3.0,5.5,2,7,2e-06,0,Menor señal digital local
The Fontane Sisters,1,Aparición puntual o comportamiento emergente,0,2,1,34.5,90.0,15.5,15.5,2,21,5.3e-05,0,Menor señal digital local
LISA,3,Baja presencia o menor posicionamiento local,0,2,1,47.0,44.0,3.0,3.0,2,7,1e-06,0,Menor señal digital local
Latto,3,Baja presencia o menor posicionamiento local,0,2,1,46.0,36.5,0.0,4.0,2,9,1e-06,0,Menor señal digital local
Jory Boy,3,Baja presencia o menor posicionamiento local,0,2,2,42.0,33.5,8.0,8.0,2,15,2e-06,0,Menor señal digital local
Jowell & Randy,3,Baja presencia o menor posicionamiento local,0,2,1,49.0,71.5,1.0,1.0,2,3,2e-06,0,Menor señal digital local
Los Hermanos Lagos,3,Baja presencia o menor posicionamiento local,0,2,1,34.0,57.5,1.0,16.0,2,31,0.000766,0,Menor señal digital local
Américo,3,Baja presencia o menor posicionamiento local,0,2,2,46.0,59.0,4.0,4.0,2,7,3e-06,0,Menor señal digital local
The Ronettes,1,Aparición puntual o comportamiento emergente,0,2,1,24.5,81.5,25.5,25.5,2,29,2.8e-05,0,Menor señal digital local
Amar Azul,3,Baja presencia o menor posicionamiento local,0,2,1,46.0,45.5,4.0,4.0,2,6,1e-06,0,Menor señal digital local
Distobal,3,Baja presencia o menor posicionamiento local,0,2,2,46.0,28.5,4.0,4.0,2,9,0.0,0,Menor señal digital local
Daryl Hall & John Oates,3,Baja presencia o menor posicionamiento local,0,2,1,37.0,84.5,13.0,13.0,2,20,4.6e-05,0,Menor señal digital local
Mattei,3,Baja presencia o menor posicionamiento local,0,2,1,49.0,71.5,1.0,1.0,2,3,2e-06,0,Menor señal digital local
Perry Como,1,Aparición puntual o comportamiento emergente,0,2,1,34.5,90.0,15.5,15.5,2,21,5.3e-05,0,Menor señal digital local
Frank Sinatra,1,Aparición puntual o comportamiento emergente,0,2,2,19.5,88.0,30.5,30.5,2,32,1.2e-05,0,Menor señal digital local
Mitchell Ayres & His Orchestra,1,Aparición puntual o comportamiento emergente,0,2,1,34.5,90.0,15.5,15.5,2,21,5.3e-05,0,Menor señal digital local
Miky Woodz,3,Baja presencia o menor posicionamiento local,0,2,1,40.0,20.5,3.5,10.0,2,14,1e-06,0,Menor señal digital local
ROSALÍA,3,Baja presencia o menor posicionamiento local,0,2,1,47.0,44.0,3.0,3.0,2,7,1e-06,0,Menor señal digital local
Dj Agus Lima,1,Aparición puntual o comportamiento emergente,0,2,1,2.0,0.0,24.0,48.0,2,49,2e-06,0,Menor señal digital local
Antonio Rios,3,Baja presencia o menor posicionamiento local,0,1,1,39.0,59.0,11.0,11.0,1,12,2e-06,0,Menor señal digital local
Vallejo Music,1,Aparición puntual o comportamiento emergente,0,1,1,28.0,65.0,22.0,22.0,1,23,6e-06,0,Menor señal digital local
Ken-Y,3,Baja presencia o menor posicionamiento local,0,1,1,48.0,67.0,2.0,2.0,1,3,1e-06,0,Menor señal digital local
Kilvertz,3,Baja presencia o menor posicionamiento local,0,1,1,48.0,0.0,2.0,2.0,1,3,0.0,0,Menor señal digital local
Los Mismos de Siempre,1,Aparición puntual o comportamiento emergente,0,1,1,22.0,55.0,28.0,28.0,1,29,4e-06,0,Menor señal digital local
Jossi,3,Baja presencia o menor posicionamiento local,0,1,1,46.0,0.0,4.0,4.0,1,5,0.0,0,Menor señal digital local
Lasso,3,Baja presencia o menor posicionamiento local,0,1,1,47.0,80.0,3.0,3.0,1,4,4e-06,0,Menor señal digital local
Laufey,3,Baja presencia o menor posicionamiento local,0,1,1,49.0,88.0,1.0,1.0,1,2,5e-06,0,Menor señal digital local
La Noche,3,Baja presencia o menor posicionamiento local,0,1,1,49.0,57.0,1.0,1.0,1,2,1e-06,0,Menor señal digital local
Zion,3,Baja presencia o menor posicionamiento local,0,1,1,48.0,67.0,2.0,2.0,1,3,1e-06,0,Menor señal digital local
Myriam Hernandez,3,Baja presencia o menor posicionamiento local,0,1,1,48.0,59.0,2.0,2.0,1,3,1e-06,0,Menor señal digital local
NandoVVS,3,Baja presencia o menor posicionamiento local,0,1,1,50.0,32.0,0.0,0.0,1,1,0.0,0,Menor señal digital local
JC Reyes,3,Baja presencia o menor posicionamiento local,0,1,1,48.0,0.0,2.0,2.0,1,3,0.0,0,Menor señal digital local
Grupo disparo,3,Baja presencia o menor posicionamiento local,0,1,1,46.0,62.0,4.0,4.0,1,5,2e-06,0,Menor señal digital local
Los de Ramon,3,Baja presencia o menor posicionamiento local,0,1,1,37.0,54.0,13.0,13.0,1,14,2e-06,0,Menor señal digital local
Lucho Lambis,1,Aparición puntual o comportamiento emergente,0,1,1,19.0,52.0,31.0,31.0,1,32,3e-06,0,Menor señal digital local
Fuka,1,Aparición puntual o comportamiento emergente,0,1,1,29.0,0.0,21.0,21.0,1,22,0.0,0,Menor señal digital local
Garras de Amor,3,Baja presencia o menor posicionamiento local,0,1,1,42.0,53.0,8.0,8.0,1,9,1e-06,0,Menor señal digital local
Jorge Yanez,3,Baja presencia o menor posicionamiento local,0,1,1,41.0,54.0,9.0,9.0,1,10,2e-06,0,Menor señal digital local
Morad,3,Baja presencia o menor posicionamiento local,0,1,1,49.0,0.0,1.0,1.0,1,2,0.0,0,Menor señal digital local
Fuego,3,Baja presencia o menor posicionamiento local,0,1,1,47.0,0.0,3.0,3.0,1,4,0.0,0,Menor señal digital local
Gio Valentinno,1,Aparición puntual o comportamiento emergente,0,1,1,31.0,0.0,19.0,19.0,1,20,0.0,0,Menor señal digital local
Rodolfo el Reno Y Musica Navideña,3,Baja presencia o menor posicionamiento local,0,1,1,48.0,66.0,2.0,2.0,1,3,1e-06,0,Menor señal digital local
Sacra Mr Melody,3,Baja presencia o menor posicionamiento local,0,1,1,43.0,63.0,7.0,7.0,1,8,2e-06,0,Menor señal digital local
Renzo Pianciola,1,Aparición puntual o comportamiento emergente,0,1,1,30.0,0.0,20.0,20.0,1,21,0.0,0,Menor señal digital local
Drago200,3,Baja presencia o menor posicionamiento local,0,1,1,50.0,54.0,0.0,0.0,1,1,0.0,0,Menor señal digital local
Elvis Presley,3,Baja presencia o menor posicionamiento local,0,1,1,44.0,88.0,6.0,6.0,1,7,1.2e-05,0,Menor señal digital local
Red Fingers,1,Aparición puntual o comportamiento emergente,0,1,1,29.0,0.0,21.0,21.0,1,22,0.0,0,Menor señal digital local
Sia,3,Baja presencia o menor posicionamiento local,0,1,1,45.0,93.0,5.0,5.0,1,6,1.4e-05,0,Menor señal digital local
