Variable,Importancia_SHAP
puntaje_posicion_chile,0.18967957557004578
rank_promedio_chile,0.1293386925518383
movimiento_semanal_promedio,0.07099233162606565
permanencia_dias,0.06562038025593157
popularidad_promedio,0.03701153199859436
movimiento_diario_promedio,0.026033521566027815
apariciones_chile,0.020372188581924154
canciones_unicas_chile,0.007254098823405094
